depth,MAE,MSE,MAPE
1,7124.972145586476,74340503.26054949,0.19824268205379403
2,5397.556642026472,46663648.46725231,0.14296207298727437
3,3820.1157973034183,26094944.29499152,0.09775426920745359
4,2915.681295166387,16965532.289793108,0.07442188137920784
5,2196.904400068374,10474867.10085144,0.05580959361914418
7,1534.4520714659116,5647899.161293944,0.03865994051768892
9,1007.4060450865462,2887125.1698161843,0.025394640777197695
11,733.8715625330608,1907003.5541977705,0.018627574008518524
15,456.6952145898202,1215491.6397141009,0.011664972993889295
20,335.66534507848155,1153477.198769191,0.008631229444314385
25,313.004062040038,1078159.2009734449,0.008074048895682947
30,310.77510466552206,1086339.4747419578,0.008018655714325619
40,312.6555977229601,1090594.98513599,0.008030884394908207
